siteID,year,month,n_nutrient_samples,NO3_mean,NO3_sd,NH4_mean,NH4_sd,TDN_mean,TDN_sd,TN_mean,TN_sd,OrthoP_mean,OrthoP_sd,TDP_mean,TDP_sd,TP_mean,TP_sd
CRAM,2021,7,2,6e-4,0,0.03925,0.05267945519839779,0.25095,0.07714534982745233,0.24280000000000002,0.048083261120685214,0.0021,NA,0.00795,0.00417193000900063,0.0177,0.007212489168102785
CRAM,2021,8,6,6.66666666666665e-4,1.4605934866804613e-4,0.2838333333333333,0.3086599185727446,0.240516666666667,0.07103961570842005,0.2644333333333335,0.06744290424746928,0.0023,0,0.011250000000000015,0.005385938482134154,0.01936666666666665,0.008507957059913564
CRAM,2021,9,2,NA,NA,0.0232,0.029415642097360375,0.31620000000000004,0.148492424049175,0.34085,0.15916973644509186,0.0047,NA,0.0104,0.007495331880577403,0.01845,0.016051323932934628
CRAM,2021,10,4,6.666666666666666e-4,1.5275252316519468e-4,0.079625,0.12374286174698457,0.332825,0.12091711693001396,0.36435,0.13145337576494562,0.0014333333333333333,9.29157324317757e-4,0.010375,0.003718758753491099,0.0177,0.00852955645583833
CRAM,2021,11,3,0.0013333333333333333,2.0816659994661325e-4,0.15976666666666667,0.26633485189387684,0.3646666666666667,0.23369358855846545,0.4015666666666667,0.22872691868980644,0.0029,NA,0.0094,0.005402777063696039,0.020466666666666668,0.009654705243213454
CRAM,2022,1,1,0.0085,NA,0.0835,NA,0.2574,NA,0.4128,NA,0.0011,NA,0.0089,NA,0.02,NA
CRAM,2022,2,1,0.0162,NA,0.0763,NA,0.3587,NA,0.3672,NA,0.0015,NA,0.0069,NA,0.0131,NA
CRAM,2022,5,2,0.07615,0.011525840533340721,0.01915,0.02439518395093589,0.34075,0.012374368670764553,0.37155,0.04193143212436228,1e-4,NA,0.00655,7.071067811865494e-5,0.01315,0.0014849242404917507
CRAM,2022,6,2,0.032,0.04483056992722712,0.02565,0.03429467888754756,0.17855,0.06201326471006022,0.28800000000000003,0.07382194795587556,1e-4,1.414213562373095e-4,0.00935,3.5355339059327283e-4,0.0149,0.0032526911934581187
CRAM,2022,7,2,0.0108,0.013435028842544402,0.0793,0.10649028124669405,0.30695,0.07205418100290918,0.31575,0.10161124445650688,0.0021,0.0029698484809834993,0.00835,0.005303300858899107,0.08435,0.08251936136447009
CRAM,2022,8,6,0.0066500000000000005,0.006079720388307344,0.10653333333333351,0.11067647145321075,0.30018333333333347,0.10788308640993441,0.3416833333333335,0.11909314142020645,0.004449999999999995,0.004363523041457824,0.014166666666666649,0.006974333898899097,0.14976666666666685,0.11239266880006027
CRAM,2022,9,2,7e-4,1.4142135623730956e-4,0.1343,0.18865608922057087,0.29610000000000003,0.1555634918610405,0.3503,0.15754339084836277,0.0034999999999999996,0.004666904755831213,0.01105,0.008555992052357226,0.019700000000000002,0.013293607486307094
CRAM,2022,10,8,0.0024125,0.0012430042332226868,0.2119875,0.2139892282836418,0.44382500000000025,0.22626355102802023,0.4546,0.18125337435282607,0.004925,0.0011499999999999998,0.011212499999999988,0.00694326069275948,0.022900000000000014,0.010695615479073198
CRAM,2022,11,3,0.004066666666666666,0.0022722969289539013,0.14306666666666668,0.21549627220286977,0.3397,0.24628416514262544,0.3881,0.21367206181436077,0.0010999999999999998,0.001131370849898476,0.011066666666666666,0.0048013886880082235,0.023066666666666666,0.0076225542525673986
CRAM,2023,2,1,0.0096,NA,0.0543,NA,0.2827,NA,0.3161,NA,9e-4,NA,0.0081,NA,0.0121,NA
CRAM,2023,3,1,0.0125,NA,0.0598,NA,0.2992,NA,0.3431,NA,1e-4,NA,0.0073,NA,0.0264,NA
CRAM,2023,4,1,0.0203,NA,0.0662,NA,0.2913,NA,0.3198,NA,0.0011,NA,0.005,NA,0.0102,NA
CRAM,2023,5,2,0.0713,0.001979898987322331,0.0517,0.06561950929411162,0.37065000000000003,0.008838834764831853,0.35735,0.036415999231107186,0.0014,0.0015556349186104045,0.00595,0.0020506096654409884,0.0156,0.006222539674441619
CRAM,2023,6,2,0.0284,0.03931513703397204,0.047450000000000006,0.063286056916196,0.26325,0.10132840174403225,0.3197,0.07905453813665601,0.001,9.899494936611666e-4,0.00505,0.0017677669529663688,0.01385,0.00728319984622144
CRAM,2023,7,2,0.014499999999999999,0.017677669529663688,0.05500000000000001,0.0698621499812309,0.31579999999999997,0.07947880220536795,0.35675,0.0794080915272493,0.0031999999999999997,0.0029698484809834993,0.007050000000000001,0.003747665940288702,0.01515,0.008980256121069152
CRAM,2023,8,4,0.0027749999999999997,0.0013143439428094914,0.12717499999999998,0.12430455542738568,0.334525,0.14082613689700266,0.363025,0.13684510404102884,0.0051,0.002675817632051931,0.010525,0.004257640191467569,0.01925,0.009394147114027968
CRAM,2023,10,4,0.017475,0.022349105127498953,0.180175,0.2079107240299708,0.35885,0.19793013077009441,0.39035000000000003,0.16234443836074788,0.003725,0.0025237207980810133,0.011175,0.007560147705788117,0.02115,0.013738146405780758
CRAM,2023,11,3,0.00653333333333333,0,0.0180333333333333,0,0.3,0,0.37,0,NA,NA,0.0052,0,0.0096,0
CRAM,2024,1,1,0.0509,NA,0.0619,NA,0.36,NA,0.32,NA,0,NA,0.005,NA,0.0209,NA
CRAM,2024,2,1,0.022,NA,0.0486,NA,0.4,NA,0.34,NA,NA,NA,0.0056,NA,0.0173,NA
CRAM,2024,3,1,0.0357,NA,0.0934,NA,0.29,NA,0.24,NA,NA,NA,0.0072,NA,0.0162,NA
CRAM,2024,4,2,0.00745,0.007990306627407988,0.01585,0.019586857838867367,0.27,0.028284271247461888,0.255,0.021213203435596444,5.5e-4,2.1213203435596425e-4,0.0040999999999999995,2.828427124746192e-4,0.00995,7.071067811865432e-5
CRAM,2024,6,4,0.008125,0.0025682354513037416,0.058325,0.03677810716535948,0.27249999999999996,0.05251983752196243,0.47750000000000004,0.215,0.00215,0.0027110883423451916,0.010225,0.005031484207799259,0.01925,0.010093727425155354
