taxonID,mean_length_mm,std_dev,min_length,max_length,n_samples,avg_density_per_L
EUBTUB,0.32889,0.05191469553262253,0.25,0.451,50,4.9062839567902135
GASSP6,0.11954166666666667,0.06985485204772775,0.06,0.55,49,2.454123623709672
SKIMIS,0.9346530612244898,0.06939637088866393,0.8,1.2,49,3.099531267053405
LECSP1,0.12455319148936171,0.030459387437557404,0.07,0.2,47,1.1657483694891029
ROTSP,0.1544772727272727,0.14120700434507463,0.08,1,44,75.90828179272214
BOSSP1,0.2904651162790698,0.07479984365823023,0.15,0.47,43,2.2552890355981976
CHYSPH,0.27176744186046514,0.08117436764365789,0.17,0.535,43,1.5344753525213128
DAPPUL1,1.3522926829268294,0.3653367107137223,0.53,2.004,41,72.50527018143492
ASCSP1,0.12410256410256411,0.05184582146883852,0.08,0.36,39,5.500203498314988
TESSP2,0.11052631578947368,0.04346153119907135,0.03,0.18,39,7.39171977099799
OSTSP,0.23597368421052634,0.1218939474457103,0.15,0.64,38,1.107991868941761
KELBOS,0.117,0.012801654304861399,0.1,0.13,35,1.8660900339114541
